PERMIT_NO,FARM_NAME,COUNTY,PROD_GAS_QUANT
003-21982,YUTE UNIT 4H,Allegheny,3057610.2600000002
003-21994,FAWN DEVELOPERS INC 1,Allegheny,372983.8
003-22006,IMPERIAL LAND CORP IMPERIAL H1,Allegheny,
003-22065,SEDAT 1,Allegheny,
003-22078,EILEEN MOSLEY 1,Allegheny,
003-22091,FAWN DEVELOPERS INC 3H,Allegheny,5546116.7
003-22092,FAWN DEVELOPERS INC 4H,Allegheny,3030089.6
003-22098,BANKS JANET ET AL UNIT 8H,Allegheny,
003-22099,BANKS JANET ET AL UNIT 9H,Allegheny,
003-22128,OLIVER WEST 590591,Allegheny,0.0
003-22129,OLIVER WEST 590590,Allegheny,0.0
003-22193,YUTE UNIT 2H,Allegheny,4163773.39
003-22194,YUTE UNIT 3H,Allegheny,2824588.4099999983
003-22195,YUTE UNIT 5H,Allegheny,4232251.87
003-22196,YUTE UNIT 8H,Allegheny,3252729.400000001
003-22197,YUTE UNIT 9H,Allegheny,3015661.4599999986
003-22203,BAKERSTOWN ROAD UNIT 5H,Allegheny,2321257.55
003-22204,BAKERSTOWN ROAD UNIT 4H,Allegheny,2754485.8699999996
003-22207,GULICK UNIT 2H,Allegheny,
003-22208,GULICK UNIT 3H,Allegheny,
003-22209,GULICK UNIT 4H,Allegheny,
003-22210,BAKERSTOWN ROAD UNIT 2H,Allegheny,2567947.5199999996
003-22211,BAKERSTOWN ROAD UNIT 3H,Allegheny,1617250.160000001
003-22212,SCHILLER GERALD UNIT 1H,Allegheny,
003-22213,SCHILLER GERALD UNIT 2H,Allegheny,
003-22214,SCHILLER GERALD UNIT 3H,Allegheny,
003-22216,ZIOLKOWSKI MICHELLE UNIT 1H,Allegheny,
003-22217,ZIOLKOWSKI MICHELLE UNIT 2H,Allegheny,
003-22218,ZIOLKOWSKI MICHELLE UNIT 3H,Allegheny,
003-22219,DALBO DOMINICK UNIT 1H,Allegheny,
003-22220,DALBO DOMINICK UNIT 2H,Allegheny,
003-22221,DALBO DOMINICK UNIT 3H,Allegheny,
003-22222,SCHILLER GERALD UNIT 1H,Allegheny,3321065.5500000003
003-22223,SCHILLER GERALD UNIT 2H,Allegheny,2292234.5
003-22224,SCHILLER GERALD UNIT 3H,Allegheny,3159831.5600000005
003-22225,SCHILLER GERALD UNIT 6H,Allegheny,2861294.21
003-22227,SCHILLER GERALD UNIT 4H,Allegheny,6057451.26
003-22229,OLIVER EAST 590597,Allegheny,3277330.0
003-22230,BOVARD DOROTHY UNIT 4H,Allegheny,3445448.6999999993
003-22231,BOVARD DOROTHY UNIT 5H,Allegheny,3156663.3800000004
003-22232,BOVARD DOROTHY UNIT 6H,Allegheny,3324110.81
003-22233,BOVARD DOROTHY UNIT 8H,Allegheny,4197693.020000002
003-22234,OLIVER EAST 590598,Allegheny,4125789.0
003-22235,OLIVER EAST 590599,Allegheny,3357712.0
003-22236,OLIVER EAST 590600,Allegheny,3953507.0
003-22237,OLIVER EAST 590596,Allegheny,2612422.0
003-22240,OLIVER WEST 591627,Allegheny,4208094.0
003-22241,OLIVER WEST 591628,Allegheny,4059887.0
003-22242,OLIVER WEST 591629,Allegheny,3097038.0
003-22246,DALBO DOMINICK UNIT 1H,Allegheny,
003-22247,DALBO DOMINICK UNIT 2H,Allegheny,367869.73
003-22248,DALBO DOMINICK UNIT 3H,Allegheny,
003-22251,GULICK UNIT 2H,Allegheny,
003-22252,GULICK UNIT 3H,Allegheny,
003-22253,GULICK UNIT 4H,Allegheny,
003-22256,ZIOLKOWSKI MICHELLE UNIT 1H,Allegheny,
003-22257,ZIOLKOWSKI MICHELLE UNIT 2H,Allegheny,
003-22258,ZIOLKOWSKI MICHELLE UNIT 3H,Allegheny,
003-22259,VEDRO AUGUST UNIT 1H,Allegheny,
003-22261,VEDRO AUGUST UNIT 3H,Allegheny,
003-22262,VEDRO AUGUST UNIT 4H,Allegheny,
003-22266,VEDRO AUGUST UNIT 2H,Allegheny,
003-22269,OLIVER WEST 590590,Allegheny,4636263.0
003-22270,OLIVER WEST 590591,Allegheny,4893567.0
003-22271,OLIVER WEST 590592,Allegheny,
003-22272,OLIVER WEST 590593,Allegheny,4472106.0
003-22273,OLIVER WEST 590594,Allegheny,3053419.0
003-22274,OLIVER WEST 590595,Allegheny,4422041.0
003-22275,OLIVER WEST 591626,Allegheny,3003251.0
003-22276,OLIVER WEST 592158,Allegheny,3726308.0
003-22277,OLIVER WEST 592159,Allegheny,3670292.0
003-22278,BOVARD DOROTHY UNIT 2H,Allegheny,2525705.5200000005
003-22279,BOVARD DOROTHY UNIT 3H,Allegheny,2986859.65
003-22280,BOVARD DOROTHY UNIT 7H,Allegheny,3499617.9299999997
003-22281,ACAA 2D,Allegheny,3969953.08
003-22282,ACAA 1D,Allegheny,1877120.6099999999
003-22283,OLIVER EAST 590601,Allegheny,6407683.0
003-22284,OLIVER EAST 591630,Allegheny,2738938.0
003-22285,OLIVER EAST 591631,Allegheny,4036673.0
003-22286,OLIVER EAST 591632,Allegheny,4199266.0
003-22287,ACAA 2A,Allegheny,3581099.5099999993
003-22288,ACAA 2B,Allegheny,3765357.3699999996
003-22289,ACAA 2C,Allegheny,3642009.389999999
003-22290,ACAA 2E,Allegheny,3854821.59
003-22291,ACAA 2F,Allegheny,3785879.1399999997
